signal_id,symbol,es,at,residual,regime,final_state,mt5_ticket,timestamp_generated,timestamp_triggered,timestamp_submitted,timestamp_opened,timestamp_closed,pnl_points,pnl_money
SIG_20260616_095420_EURJPY,EURJPY,0.19444444444444445,0.041666666666666664,9.67614356833278e-06,DYNAMIC,GENERATED,,2026-06-16T09:54:20.168830,,,,,0.0,0.0
SIG_20260616_095420_USDJPY,USDJPY,0.876984126984127,0.9365079365079365,1.4578958334869016e-05,DYNAMIC,TRIGGERED,,2026-06-16T09:54:20.187610,2026-06-16T09:54:20.187610,,,,0.0,0.0
SIG_20260616_095420_GBPJPY,GBPJPY,0.6349206349206349,0.40674603174603174,1.8670681154537243e-05,DYNAMIC,GENERATED,,2026-06-16T09:54:20.214279,,,,,0.0,0.0
SIG_20260616_095420_XAUUSD,XAUUSD,0.8888888888888888,0.22817460317460317,0.0006363946836649356,DYNAMIC,TRIGGERED,,2026-06-16T09:54:20.240117,2026-06-16T09:54:20.247158,,,,0.0,0.0
SIG_20260616_095420_EURUSD,EURUSD,0.6468253968253969,0.9246031746031746,2.4682774626737176e-05,DYNAMIC,GENERATED,,2026-06-16T09:54:20.267370,,,,,0.0,0.0
SIG_20260616_095521_EURJPY,EURJPY,0.19047619047619047,0.041666666666666664,9.656782953710007e-06,DYNAMIC,GENERATED,,2026-06-16T09:55:21.327206,,,,,0.0,0.0
SIG_20260616_095521_USDJPY,USDJPY,0.9027777777777778,0.9365079365079365,1.4942013179840581e-05,DYNAMIC,TRIGGERED,,2026-06-16T09:55:21.357727,2026-06-16T09:55:21.367068,,,,0.0,0.0
SIG_20260616_095521_GBPJPY,GBPJPY,0.6329365079365079,0.40674603174603174,1.8663393457331502e-05,DYNAMIC,GENERATED,,2026-06-16T09:55:21.392448,,,,,0.0,0.0
SIG_20260616_095521_XAUUSD,XAUUSD,0.8908730158730159,0.22817460317460317,0.0006372411223073641,DYNAMIC,TRIGGERED,,2026-06-16T09:55:21.419118,2026-06-16T09:55:21.426376,,,,0.0,0.0
SIG_20260616_095521_EURUSD,EURUSD,0.6488095238095238,0.9246031746031746,2.4899560246989554e-05,DYNAMIC,GENERATED,,2026-06-16T09:55:21.447323,,,,,0.0,0.0
SIG_20260616_095622_EURJPY,EURJPY,0.19047619047619047,0.041666666666666664,9.656550770975516e-06,DYNAMIC,GENERATED,,2026-06-16T09:56:22.483804,,,,,0.0,0.0
SIG_20260616_095622_USDJPY,USDJPY,0.9047619047619048,0.9365079365079365,1.4972248556680966e-05,DYNAMIC,TRIGGERED,,2026-06-16T09:56:22.511510,2026-06-16T09:56:22.517554,,,,0.0,0.0
SIG_20260616_095622_GBPJPY,GBPJPY,0.6329365079365079,0.40674603174603174,1.86628729435914e-05,DYNAMIC,GENERATED,,2026-06-16T09:56:22.544764,,,,,0.0,0.0
SIG_20260616_095622_XAUUSD,XAUUSD,0.8908730158730159,0.22817460317460317,0.0006374140433475211,DYNAMIC,TRIGGERED,,2026-06-16T09:56:22.567109,2026-06-16T09:56:22.575587,,,,0.0,0.0
SIG_20260616_095622_EURUSD,EURUSD,0.6488095238095238,0.9246031746031746,2.4899560246989554e-05,DYNAMIC,GENERATED,,2026-06-16T09:56:22.597177,,,,,0.0,0.0
SIG_20260616_095723_EURJPY,EURJPY,0.19444444444444445,0.041666666666666664,9.66699986968569e-06,DYNAMIC,GENERATED,,2026-06-16T09:57:23.587038,,,,,0.0,0.0
